Mon Feb 15 21:34:11 2021    output.dat

         3305284568 function calls (3264835398 primitive calls) in 7006.120 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      272 4170.871   15.334 4170.871   15.334 {method 'acquire' of '_thread.lock' objects}
  3717818    2.052    0.000   14.796    0.000 {method 'any' of 'numpy.ndarray' objects}
  2565984    1.983    0.000    1.983    0.000 {method 'total_seconds' of 'datetime.timedelta' objects}
   934262    1.965    0.000   51.310    0.000 /home/kd/anaconda3/envs/alma/lib/python3.7/site-packages/pandas/core/indexing.py:2153(check_bool_indexer)
   927709    1.931    0.000    3.926    0.000 /home/kd/anaconda3/envs/alma/lib/python3.7/site-packages/pandas/core/internals/managers.py:683(_consolidate_check)
  3501289    1.920    0.000    1.920    0.000 /home/kd/anaconda3/envs/alma/lib/python3.7/site-packages/pandas/core/indexes/base.py:540(_reset_identity)
   927774    1.899    0.000    1.899    0.000 {built-in method numpy.zeros}
   939446    1.892    0.000    2.976    0.000 /home/kd/anaconda3/envs/alma/lib/python3.7/site-packages/pandas/core/indexes/base.py:459(_simple_new)
  2678282    1.850    0.000    8.383    0.000 /home/kd/anaconda3/envs/alma/lib/python3.7/site-packages/pandas/core/indexes/base.py:1835(is_object)
   927700    1.759    0.000  129.064    0.000 /home/kd/anaconda3/envs/alma/lib/python3.7/site-packages/pandas/core/generic.py:5259(values)
   927700    1.733    0.000   21.064    0.000 /home/kd/anaconda3/envs/alma/lib/python3.7/site-packages/numpy/core/numerictypes.py:602(find_common_type)
  1856308    1.709    0.000   16.121    0.000 {built-in method builtins.any}
   939424    1.679    0.000    4.943    0.000 /home/kd/anaconda3/envs/alma/lib/python3.7/site-packages/pandas/core/indexes/base.py:494(_shallow_copy)
  3567435    1.665    0.000    1.665    0.000 {built-in method __new__ of type object at 0x55f82f8222c0}
  2806788    1.643    0.000    2.058    0.000 /home/kd/anaconda3/envs/alma/lib/python3.7/site-packages/pandas/core/common.py:149(cast_scalar_indexer)
   929099    1.616    0.000    2.054    0.000 /home/kd/anaconda3/envs/alma/lib/python3.7/site-packages/pandas/core/generic.py:1664(__hash__)
  3715009    1.588    0.000    5.873    0.000 /home/kd/anaconda3/envs/alma/lib/python3.7/site-packages/pandas/core/dtypes/missing.py:47(isna)
  2561834    1.555    0.000    5.472    0.000 /home/kd/anaconda3/envs/alma/lib/python3.7/site-packages/pandas/core/common.py:274(maybe_iterable_to_list)
 10711777    1.451    0.000    1.451    0.000 {pandas._libs.lib.is_integer}
